,Eligibility
4091,All qualified candidates
4092,All qualified and interested candidates
4096,"All qualified candidates are eligible to
apply."
4099,All interested candidates
4101,All qualified candidates
4103,All eligible candidates
4104,All eligible candidates
4105,Applicants from Armenia or CIS
4107,All interested and qualified candidates
4116,All interested candidates
4117,All qualified candidates
4123,All qualified  candidates
4124,All qualified candidates
4127,All eligible candidates
4128,All qualified candidates
4136,All qualified candidates
4137,All eligible candidates
4145,All Web Designers
4155,All qualified candidates
4156,Everyone
4169,All qualified candidates
4178,All qualified candidates
4183,"8th and 9th graders born after 01
January 1992 and before 15 July 1993."
4184,"Attendance of the event is open to
everybody."
4191,All qualified candidates
4200,All eligible candidates
4207,All eligible candidates
4219,All qualified candidates.
4220,All qualified candidates.
4222,All eligible candidates
4229,All interested candidates.
4234,All qualified candidates.
4241,Everyone
4250,All qualified candidates
4257,All qualified candidates.
4260,All qualified candidates
4274,All interested candidates
4275,All interested candidates
4276,All interested candidates
4277,"Course can be addressed to the
undergraduate students of all mechanical and constructional specialties
of technical Universities, successfully completed first academic year.
Course will be valuable also for graduate, postgraduate students,
lecturers, engineers, all those people who want to possess the technique
of appropriate problems solution."
4278,"Accountants with strong English language
skills"
4279,"Accountants with strong English
lanaguage skills"
4287,All qualified candidates
4288,All interested candidates
4290,Everybody
4299,All qualified and motivated candidates
4304,All qualified candidates
4308,All qualified candidates
4310,Everyone
4311,All interested candidates.
4315,All eligible candidates.
4319,All qualified candidates
4321,All qualified candidates
4323,Everyone
4324,All interested candidates.
4332,All interested candidates
4336,"Pharmacists, pharmacy technicians or
nurses with drug distribution skills."
4339,"Architects qualified in interior design
and landscaping."
4347,Everyone
4349,All eligible candidates
4353,All qualified candidates
4355,All qualified candidates
4357,All interested candidates
4359,All interested candidates
4377,All interested candidates
4378,All interested candidates
4384,All qualified candidates.
4386,Everybody
4387,All qualified candidates
4390,All qualified candidates
4392,Everyone
4396,All qualified candidates.
4398,All qualified candidates
4408,Everyone interested
4410,All interested candidates
4413,All interested candidates.
4414,All interested candidates.
4415,"All qualified candidates with previous
work experience."
4416,All inetersted candidates
4418,Management level professionals
4419,All qualified candidates
4421,All qualified candidates
4423,All interested candidates.
4424,All interested candidates.
4425,Everyone
4430,All qualified candidates
4437,Everyone
4438,All qualified candidates
4439,All interested candidates.
4444,Everyone
4448,Energetic persons
4454,All qualified candidates
4455,"Medical doctors with specialization in
anesthesiology."
4457,All qualified and interested persons
4458,All qualified candidates
4459,All qualified candidates
4460,"Medical doctors with specialization in
reanimatology."
4461,All qualified candidates
4462,All qualified candidates
4466,All qualified candidates
4467,All qualified candidates
4473,All qualified candidates
4475,Everyone
4486,All eligible candidates
4488,All qualified candidates
4489,All qualified candidates
4491,All interested candidates.
4493,All interested candidates.
4494,All interested candidates.
4495,ASAP
4500,"All interested and qualified
individuals."
4502,All motivated and qualified candidates.
4511,All inetersted candidates
4515,All eligible candidates
4527,All qualified candidates
4528,All qualified candidates.
4532,All eligible candidates
4537,"Dedicated and responsible Software
Architects."
4538,Motivated and interested persons
4542,"Applicants should be citizens of
Armenia, mid-career, between the ages of 25-50, highly-motivated and
experienced professionals from institutions of higher education as well
as secondary school educators (including teacher trainers, department
chairs, curriculum developers, textbook writers). The ideal candidate
will be an experienced professional with little or no recent study
experience in the U.S., whose home institution is seeking to introduce
aspects of U.S. studies into its curricula; to develop new courses in
the subject of the institute; to enhance and update existing courses on
the United States, or to offer specialized seminars/workshops for
professional in U.S. studies areas related to the program theme."
4543,Experienced developers
4547,Pediatricians
4560,Management level professionals
4562,All interested candidates
4568,All eligible candidates
4570,All qualified candidates
4581,All interested and qualified candidates
4584,All qualified candidates
4585,"All the amateurs of intellectual games
above 19 in teams consisting of 5-6 people."
4586,All qualified candidates
4587,All qualified candidates
4603,All qualified candidates
4605,All interested candidates
4622,All interested candidates
4623,Everyone interested
4625,"Experienced Java/J2ME test case
developers for System Test in functionality areas of IMS, Mobile 3D
graphics, Web Services, Mobile sensors, Blutooth, etc."
4626,"All qualified candidates and end-year
students."
4630,All qualified candidates
4632,"Experienced specialists with the
background in the financial/banking system."
4633,"Experienced accountants, preferably with
the background in the financial/banking system."
4634,All qualified candidates
4636,All interested candidates.
4639,All interested candidates.
4641,All qualified candidates
4646,All qualified candidates
4647,All qualified candidates
4648,All interested candidates
4649,All interested candidates
4650,All qualified candidates
4652,C++ experienced developers
4655,All qualified candidates
4656,All interested candidates
4657,All qualified candidates
4663,All qualified candidates
4665,All interested candidates
